ID_Amostra,Tratamento,PT_g,NFC,MFC_g,NFD,MFD_g,MS_Raiz_gkg,MS_PA_gkg,N_gkg,P_gkg,K_gkg,Ca_gkg,Mg_gkg,S_gkg,pH,Acucar_Total_perc,Acidez_Tit_perc_ac_citrico,Textura_N,Pectina_Total_mg100g,Pectina_Soluvel_mg100g,Solubilidade_mg100g
38,T1_Trich_Ecofish,3165.89,12.98,2709.95,27.76,125.52,6.99,20.91,222.05,34.84,123.78,107.81,20.77,26.65,3.49,8.62,1.03,4.29,206.69,67.49,38.21
39,T1_Trich_Ecofish,3255.6,12.56,2715.83,26.07,134.21,6.24,21.19,221.94,38.01,123.32,111.47,22.86,27.54,3.46,9.61,1.01,4.74,203.17,70.1,38.15
40,T1_Trich_Ecofish,2910.48,13.31,2726.52,25.1,128.82,6.83,21.51,221.57,37.44,122.74,107.14,22.01,28.85,3.56,7.82,1.04,4.07,194.16,70.53,40.47
41,T1_Trich_Ecofish,3207.69,13.21,2678.07,25.33,133.26,6.66,19.67,222.3,37.48,122.7,109.74,22.13,25.47,3.56,9.01,1.08,4.93,191.86,68.66,37.3
42,T1_Trich_Ecofish,3003.6,12.9,2712.39,24.62,130.84,6.54,19.86,222.97,38.14,122.73,110.42,20.87,26.47,3.5,8.27,1.05,4.08,213.72,69.35,38.5
43,T1_Trich_Ecofish,3147.29,11.85,2671.47,25.19,128.92,7.03,20.27,221.92,39.46,123.84,107.58,22.26,27.1,3.5,8.76,1.02,4.87,198.82,67.68,37.64
44,T1_Trich_Ecofish,2863.69,12.53,2718.42,26.71,133.37,6.95,21.07,222.24,35.18,122.38,112.3,22.42,27.39,3.75,8.6,1.05,3.71,201.77,66.9,37.63
45,T1_Trich_Ecofish,2946.35,12.61,2721.92,24.85,131.74,6.77,20.55,221.78,37.24,122.03,106.43,20.69,27.57,3.56,8.73,1.17,3.83,196.86,72.81,37.67
46,T1_Trich_Ecofish,3222.16,12.67,2686.94,24.6,131.23,6.64,21.36,221.65,38.01,122.16,105.47,22.77,25.91,3.61,9.79,1.17,4.07,201.63,71.59,38.46
47,T1_Trich_Ecofish,2931.53,12.32,2692.26,27.0,128.42,6.87,21.24,221.7,38.01,122.07,110.9,21.72,27.34,3.64,8.92,1.03,3.67,193.43,72.14,36.94
48,T1_Trich_Ecofish,3295.61,12.71,2712.71,25.81,131.75,6.79,21.14,221.04,38.47,123.04,104.58,21.01,28.14,3.6,9.09,1.09,4.17,206.22,70.39,35.38
49,T1_Trich_Ecofish,3213.93,13.01,2686.26,23.6,132.72,6.75,21.09,221.88,40.49,123.16,113.53,21.71,26.98,3.61,8.33,1.07,4.41,192.62,71.94,37.44
50,T1_Trich_Ecofish,3167.57,12.49,2676.89,28.76,132.42,6.67,20.37,222.06,36.42,123.76,110.52,22.37,27.77,3.75,8.41,1.15,4.77,197.42,69.64,37.88
51,T1_Trich_Ecofish,3236.58,12.7,2708.62,27.88,131.39,6.7,21.2,222.52,38.36,122.39,108.4,21.84,28.63,3.6,8.56,1.08,3.71,198.52,71.27,34.76
52,T1_Trich_Ecofish,3015.86,12.02,2670.02,26.35,130.38,7.02,21.28,221.41,36.91,122.79,111.95,22.16,26.73,3.54,8.81,1.13,5.3,196.55,68.82,39.35
53,T1_Trich_Ecofish,3132.65,12.74,2674.9,23.45,125.94,6.76,20.68,221.68,38.35,120.53,111.6,21.48,27.48,3.65,8.83,1.22,4.13,206.18,72.26,36.28
54,T1_Trich_Ecofish,3142.8,13.31,2698.03,25.08,130.65,6.58,21.1,222.14,35.06,123.88,110.84,22.52,26.89,3.55,9.2,1.05,4.46,202.2,70.44,38.07
55,T1_Trich_Ecofish,3069.06,13.15,2682.84,25.01,128.82,6.6,20.48,221.75,39.12,121.98,107.57,22.22,27.35,3.49,8.54,1.12,4.54,200.2,73.17,37.99
56,T1_Trich_Ecofish,2957.34,13.42,2696.76,25.08,128.23,6.77,21.29,222.26,36.45,123.1,110.8,21.52,27.34,3.64,8.58,1.16,4.56,200.56,68.06,36.52
57,T1_Trich_Ecofish,2995.76,13.17,2668.92,23.94,133.36,6.69,20.71,222.2,38.76,121.93,110.26,20.76,28.14,3.58,9.07,1.04,3.84,197.35,67.17,36.75
58,T1_Trich_Ecofish,3107.57,12.92,2705.81,26.15,124.17,6.93,20.22,221.88,36.1,124.57,109.02,21.77,26.25,3.62,7.43,1.02,3.05,207.87,69.87,38.94
59,T1_Trich_Ecofish,3084.49,12.65,2698.62,23.99,135.26,6.33,20.2,220.97,37.17,122.29,108.89,22.1,27.14,3.56,9.11,1.12,4.18,195.66,68.74,38.26
60,T1_Trich_Ecofish,2907.6,12.55,2666.23,24.73,132.1,6.24,21.74,220.83,38.11,123.91,110.38,21.18,26.7,3.66,8.37,1.07,3.62,200.11,71.01,38.57
61,T1_Trich_Ecofish,3136.04,12.85,2713.96,22.62,131.96,6.67,21.46,222.3,39.38,121.97,113.31,22.38,30.97,3.57,9.57,1.12,4.33,195.11,69.41,34.36
62,T1_Trich_Ecofish,3284.55,12.72,2711.12,25.74,128.41,6.66,20.79,220.58,37.13,122.82,108.28,21.28,27.82,3.57,8.13,1.07,4.14,195.81,68.25,36.25
63,T1_Trich_Ecofish,3073.47,12.86,2690.3,26.95,124.93,5.99,20.51,221.91,38.72,126.16,111.05,22.23,25.98,3.53,8.41,0.95,3.69,189.44,69.19,37.13
64,T1_Trich_Ecofish,2801.05,12.14,2695.08,24.49,134.75,6.61,20.02,220.42,37.32,121.7,107.98,20.98,26.84,3.6,8.29,1.17,3.84,204.73,70.38,36.92
65,T1_Trich_Ecofish,2994.22,12.77,2674.04,27.1,129.87,6.72,20.86,222.64,37.84,124.76,116.97,22.02,28.35,3.51,8.08,1.08,4.07,198.8,67.49,38.77
66,T1_Trich_Ecofish,2710.45,12.61,2688.21,27.74,129.5,6.53,20.65,220.83,37.59,124.23,107.76,21.65,26.96,3.55,8.68,1.02,4.53,205.36,68.96,37.62
67,T1_Trich_Ecofish,3211.26,12.43,2694.58,24.45,132.78,6.71,20.95,220.91,37.3,125.49,113.29,21.66,26.81,3.81,8.85,1.02,4.64,197.11,72.26,35.5
68,T1_Trich_Ecofish,3234.17,12.54,2716.22,27.02,132.88,6.38,20.73,222.44,37.23,123.35,112.5,21.51,27.18,3.6,7.84,1.2,4.21,191.71,67.99,35.65
69,T1_Trich_Ecofish,2992.34,13.29,2674.96,26.15,129.17,6.73,20.5,221.09,36.19,122.32,111.91,23.17,28.37,3.36,8.02,1.1,5.08,201.11,68.03,38.21
70,T1_Trich_Ecofish,2886.63,12.55,2694.18,25.26,130.39,6.65,20.1,221.01,37.04,124.68,109.93,20.81,26.68,3.64,8.56,1.17,3.71,202.17,70.32,38.54
71,T1_Trich_Ecofish,3021.23,12.35,2686.96,27.5,134.78,7.18,20.03,223.06,38.48,123.58,111.25,23.1,25.99,3.61,8.66,1.12,3.76,206.54,74.14,36.38
72,T1_Trich_Ecofish,3024.7,12.31,2698.19,27.06,133.09,6.74,20.04,222.38,37.99,124.27,109.16,22.98,28.06,3.49,8.59,1.11,4.08,204.49,65.6,38.77
73,T1_Trich_Ecofish,3116.58,12.13,2691.69,26.97,127.51,6.92,21.75,221.14,37.88,122.05,106.98,22.9,25.54,3.69,8.2,1.21,4.49,210.06,69.59,37.07
74,T1_Trich_Ecofish,2846.71,13.05,2673.07,25.91,130.69,6.05,21.24,223.33,37.69,124.27,114.93,23.06,28.22,3.57,9.04,1.06,4.93,197.8,68.55,36.35
75,T1_Trich_Ecofish,3032.36,12.76,2696.88,26.9,127.68,6.79,21.01,221.58,35.8,122.77,111.94,22.48,27.82,3.54,8.67,1.08,4.62,200.91,71.05,35.99
76,T1_Trich_Ecofish,2995.02,13.09,2666.55,26.87,125.97,6.68,20.75,221.42,38.97,119.52,111.34,23.82,28.68,3.76,9.16,1.08,3.79,191.79,72.71,37.02
77,T1_Trich_Ecofish,3041.59,12.82,2727.55,23.05,125.48,6.41,21.12,222.64,38.97,124.38,107.92,22.83,27.91,3.55,9.12,1.11,4.13,195.0,67.16,37.17
78,T1_Trich_Ecofish,2930.98,12.82,2679.5,26.45,134.16,6.89,21.5,220.92,38.55,122.25,109.61,22.32,27.65,3.51,8.02,1.06,4.03,193.09,67.86,38.65
79,T1_Trich_Ecofish,2978.89,13.01,2667.22,24.85,130.59,5.93,20.83,221.83,37.73,121.53,107.28,22.52,27.1,3.58,8.16,1.09,4.45,194.58,73.0,36.68
80,T1_Trich_Ecofish,3090.9,13.36,2713.51,28.31,127.43,6.39,19.92,222.01,35.22,123.27,111.73,21.41,27.75,3.57,8.09,1.05,3.9,206.58,71.01,38.72
81,T1_Trich_Ecofish,3074.34,12.93,2693.44,27.31,133.79,7.02,20.9,221.3,37.14,121.32,112.01,20.18,28.29,3.61,9.27,0.99,4.05,208.05,69.53,35.41
82,T1_Trich_Ecofish,3015.11,13.12,2679.05,26.62,130.71,7.07,20.25,222.35,38.6,121.49,109.17,20.98,27.69,3.55,8.9,1.16,4.16,188.97,68.52,35.77
83,T1_Trich_Ecofish,2960.08,12.47,2703.83,27.04,131.88,6.72,21.38,221.94,36.74,122.78,107.45,22.33,26.99,3.47,9.36,1.09,4.03,197.38,66.53,35.49
84,T1_Trich_Ecofish,3021.67,12.04,2702.92,27.38,129.63,6.16,20.71,222.74,35.7,122.54,110.27,22.56,27.73,3.73,8.35,1.13,3.62,198.43,67.61,36.95
85,T1_Trich_Ecofish,2920.64,12.85,2707.36,24.04,132.88,6.54,21.42,221.97,38.96,121.96,111.87,21.85,27.24,3.61,8.51,1.12,4.37,201.29,67.46,37.37
86,T1_Trich_Ecofish,2944.92,12.93,2694.46,24.8,135.3,6.8,20.95,221.95,36.32,122.4,108.69,20.72,27.41,3.58,9.93,1.08,4.23,207.57,71.79,36.43
87,T1_Trich_Ecofish,2997.98,12.51,2691.15,24.25,127.65,6.2,20.99,220.76,38.14,122.73,112.72,22.63,26.02,3.58,8.02,1.09,4.31,200.91,66.22,38.11
88,T1_Trich_Ecofish,3001.95,13.4,2671.47,25.97,130.25,6.57,21.13,221.64,37.66,122.95,109.73,22.46,26.7,3.51,9.41,1.1,4.6,196.78,74.4,34.89
89,T1_Trich_Ecofish,3105.69,12.03,2674.95,24.37,129.19,6.91,19.96,222.43,38.83,123.72,111.65,22.06,28.01,3.64,9.23,1.19,4.67,206.35,69.01,39.15
90,T1_Trich_Ecofish,3269.88,12.54,2671.47,24.51,129.69,6.88,21.59,223.61,39.1,122.81,107.6,21.81,26.36,3.59,8.15,1.13,4.47,201.32,67.61,38.06
91,T1_Trich_Ecofish,2971.62,13.09,2698.97,26.79,131.8,6.39,20.03,221.13,34.1,122.73,107.38,21.53,27.47,3.52,7.64,1.05,3.97,204.78,67.92,35.93
92,T1_Trich_Ecofish,3360.49,12.38,2715.53,25.84,133.2,6.48,20.76,222.22,35.63,123.63,112.22,21.59,28.28,3.55,8.33,1.11,4.12,208.17,69.78,38.07
93,T1_Trich_Ecofish,3098.0,13.1,2710.46,27.41,127.16,6.18,21.56,222.61,38.29,123.95,106.25,22.31,27.95,3.55,8.59,1.16,3.99,203.54,71.53,38.44
94,T1_Trich_Ecofish,3101.53,12.09,2710.17,29.6,130.24,6.39,21.45,221.49,38.94,121.34,109.93,22.81,28.43,3.41,9.37,1.04,4.21,205.04,68.96,35.11
95,T1_Trich_Ecofish,2565.18,13.43,2703.44,26.48,128.99,6.57,20.67,221.03,35.18,123.87,109.61,21.23,27.13,3.53,8.36,1.08,4.38,187.9,70.47,36.98
96,T1_Trich_Ecofish,2969.77,12.67,2698.98,27.02,133.35,6.89,21.48,221.33,35.84,123.16,110.4,21.57,26.86,3.59,9.22,1.13,4.41,211.95,67.89,37.69
97,T1_Trich_Ecofish,3182.36,13.15,2682.95,28.07,129.99,6.42,20.33,220.8,37.41,123.32,111.62,21.08,28.76,3.53,8.39,1.15,4.19,194.76,66.03,36.29
98,T1_Trich_Ecofish,3285.6,13.31,2714.69,26.37,129.77,6.99,20.54,220.85,37.23,123.15,111.33,23.5,27.04,3.68,8.85,0.93,4.39,200.59,71.91,35.76
99,T1_Trich_Ecofish,3045.46,13.39,2699.43,26.51,130.16,6.62,20.96,222.59,39.49,121.92,106.56,20.81,27.44,3.51,8.86,1.06,4.24,199.92,68.81,38.59
100,T1_Trich_Ecofish,2991.97,12.53,2701.07,24.74,130.5,6.82,19.67,221.73,37.23,123.05,109.11,22.03,27.02,3.57,9.14,1.17,4.32,196.66,72.95,37.94
101,T1_Trich_Ecofish,3250.39,13.11,2700.75,23.87,128.68,6.71,20.35,222.71,35.76,123.71,112.94,22.47,27.26,3.56,7.57,0.97,4.43,197.12,69.22,39.65
102,T1_Trich_Ecofish,2939.19,12.56,2690.56,24.34,133.88,6.56,19.31,220.91,38.91,121.88,106.56,21.53,27.09,3.61,8.89,1.17,4.51,201.89,68.61,41.16
103,T1_Trich_Ecofish,3120.68,12.09,2697.22,28.41,131.85,6.72,21.41,221.04,36.07,122.24,112.29,22.89,27.51,3.68,9.22,0.97,3.77,199.45,68.49,38.4
104,T1_Trich_Ecofish,3125.09,12.45,2698.37,24.74,128.99,6.64,20.04,219.62,37.91,125.46,108.46,20.9,29.51,3.79,8.86,1.04,4.37,199.2,69.54,37.67
105,T1_Trich_Ecofish,2953.87,12.97,2693.08,24.42,127.59,6.73,20.11,221.94,37.99,123.23,108.04,22.69,27.13,3.46,8.93,0.93,3.98,205.41,68.85,37.95
106,T1_Trich_Ecofish,3343.03,12.63,2713.89,26.04,130.64,6.64,20.33,221.74,37.87,122.52,109.19,21.91,27.42,3.58,8.33,1.09,4.44,207.91,69.76,35.87
107,T1_Trich_Ecofish,3116.04,12.97,2742.83,24.96,131.33,6.5,20.94,222.71,36.55,122.76,112.3,20.75,26.7,3.75,9.07,0.98,4.21,194.39,65.94,36.57
108,T1_Trich_Ecofish,3265.0,12.79,2666.09,27.84,135.14,6.61,20.5,220.1,36.85,120.51,106.21,22.07,26.74,3.59,8.66,1.12,4.37,201.14,70.24,38.85
109,T1_Trich_Ecofish,2976.05,13.0,2687.09,25.06,129.12,6.36,19.53,220.47,35.51,120.98,109.59,22.81,27.02,3.59,8.59,1.05,4.64,198.02,69.39,38.61
110,T1_Trich_Ecofish,2885.1,12.7,2697.17,27.14,130.67,6.97,21.33,220.67,36.74,122.48,110.22,20.92,26.9,3.44,9.19,1.05,4.46,188.3,70.8,35.45
111,T1_Trich_Ecofish,3029.03,12.7,2677.2,28.61,130.54,6.32,19.94,221.58,37.39,123.76,111.51,22.82,26.34,3.42,7.95,1.1,3.56,207.02,69.08,38.39
112,T1_Trich_Ecofish,2803.79,12.33,2692.49,24.29,134.77,6.73,21.83,222.58,36.65,123.47,109.81,21.54,26.68,3.65,9.35,1.02,4.33,197.63,69.07,37.66
113,T1_Trich_Ecofish,2644.86,12.84,2713.13,28.73,129.69,6.19,21.66,222.65,38.76,124.98,112.72,22.93,27.64,3.72,9.38,1.04,3.42,198.96,72.0,36.84
114,T1_Trich_Ecofish,2837.09,12.53,2678.2,26.67,128.21,6.82,21.4,220.75,40.07,121.22,111.46,22.85,27.97,3.64,9.27,1.02,4.02,194.62,70.27,37.46
115,T1_Trich_Ecofish,2919.24,12.77,2687.43,27.85,130.6,7.0,21.74,221.02,37.22,122.5,113.05,21.06,27.85,3.68,8.53,1.07,4.22,202.67,68.97,36.26
116,T1_Trich_Ecofish,3074.89,12.95,2680.75,29.16,132.09,6.89,20.99,221.2,38.05,121.53,111.46,22.39,27.63,3.67,7.89,1.2,3.72,201.84,68.8,39.18
117,T1_Trich_Ecofish,3186.27,12.41,2674.17,24.11,131.35,6.81,21.03,222.49,39.04,124.9,111.28,20.56,26.25,3.62,9.14,1.06,4.12,205.65,67.47,38.77
118,T1_Trich_Ecofish,2940.57,13.23,2701.74,25.08,132.48,6.69,20.73,220.41,36.3,120.8,105.78,22.65,27.2,3.58,8.96,1.1,4.17,204.28,68.18,37.28
119,T1_Trich_Ecofish,2993.55,12.25,2681.23,25.41,129.98,6.77,21.24,221.29,39.28,123.55,107.25,21.88,27.67,3.44,8.22,1.14,4.62,199.19,71.48,35.62
120,T1_Trich_Ecofish,3020.1,12.77,2689.18,26.94,128.23,6.83,22.17,220.5,39.11,124.42,111.72,21.16,25.81,3.65,8.73,1.09,4.31,204.8,68.97,36.56
121,T1_Trich_Ecofish,3044.51,12.55,2726.05,26.51,129.42,6.71,20.77,220.03,37.71,121.97,106.4,23.42,27.15,3.61,9.1,1.07,3.92,202.85,68.78,35.59
122,T1_Trich_Ecofish,2891.46,13.22,2687.07,23.47,132.93,6.82,21.33,221.71,36.75,122.88,110.74,22.03,26.65,3.59,8.72,1.04,4.15,203.98,66.42,38.55
123,T1_Trich_Ecofish,3015.69,11.9,2675.63,26.23,129.53,6.01,20.03,220.46,37.56,122.1,112.49,22.49,26.98,3.6,8.51,1.13,4.28,193.68,69.57,35.78
124,T1_Trich_Ecofish,2914.76,12.79,2667.59,25.9,129.63,6.25,20.48,221.07,36.46,122.04,112.78,22.9,27.42,3.52,9.18,1.09,3.97,195.02,68.34,37.98
125,T1_Trich_Ecofish,2937.89,12.16,2679.16,23.44,131.61,7.16,20.77,221.29,38.22,124.67,110.36,21.52,27.2,3.65,9.77,1.24,3.99,205.24,71.46,39.5
126,T1_Trich_Ecofish,3078.81,13.15,2698.37,24.51,133.31,6.57,20.78,222.13,37.01,123.49,107.17,22.73,26.44,3.41,9.23,1.03,4.14,204.49,69.06,38.24
127,T1_Trich_Ecofish,3205.18,12.25,2677.61,24.5,133.15,7.32,21.72,221.92,39.74,121.94,111.76,23.27,29.2,3.58,9.69,0.98,3.86,205.25,70.32,36.79
128,T1_Trich_Ecofish,3128.81,12.74,2697.17,28.26,131.31,6.58,20.67,222.34,37.32,124.32,108.52,22.33,28.91,3.67,8.11,1.08,4.52,196.9,69.21,35.82
129,T1_Trich_Ecofish,3397.19,12.29,2698.05,25.39,130.99,6.3,21.02,222.57,36.43,124.06,104.94,22.24,27.97,3.51,9.53,1.16,4.22,201.07,68.46,38.37
130,T1_Trich_Ecofish,3076.61,12.06,2687.88,27.22,129.41,6.49,21.3,221.43,38.96,122.91,112.24,21.07,26.4,3.7,8.87,1.1,4.18,204.58,72.27,37.8
131,T1_Trich_Ecofish,2949.32,12.78,2725.16,24.8,131.92,6.46,20.41,221.42,41.23,124.55,113.29,23.1,27.96,3.72,8.87,1.07,3.85,202.88,70.04,36.38
132,T1_Trich_Ecofish,3183.52,12.97,2702.61,25.12,124.21,6.53,20.22,222.42,37.08,124.29,106.23,23.24,27.08,3.52,9.27,1.0,3.51,192.99,66.57,35.48
133,T1_Trich_Ecofish,3291.73,12.57,2681.47,24.87,135.55,7.28,20.9,220.28,37.07,123.17,111.42,22.43,28.03,3.6,8.8,1.14,3.93,191.43,70.12,36.59
134,T1_Trich_Ecofish,3486.73,12.66,2673.25,27.42,129.49,6.27,19.61,221.65,38.1,120.94,107.96,22.89,24.72,3.63,8.07,1.16,4.34,202.42,66.8,37.83
135,T1_Trich_Ecofish,2653.25,13.05,2727.98,25.69,130.7,6.94,21.3,221.59,36.41,124.06,111.38,21.55,27.42,3.57,9.45,1.05,3.96,199.48,71.9,39.13
136,T1_Trich_Ecofish,2894.24,13.49,2691.41,24.77,128.32,7.01,20.22,221.31,37.43,123.36,111.03,22.45,26.68,3.62,8.61,0.98,4.13,196.26,67.83,38.19
137,T1_Trich_Ecofish,3135.08,12.53,2663.98,30.3,129.71,6.96,19.93,221.3,38.51,122.12,107.88,21.1,26.65,3.68,7.39,0.94,4.11,202.97,70.39,39.56
138,T1_Trich_Ecofish,3072.54,12.27,2712.59,26.93,128.33,6.5,20.78,221.69,36.28,121.19,109.58,20.48,26.13,3.68,9.52,1.14,4.75,212.41,68.57,37.29
139,T1_Trich_Ecofish,3059.75,12.23,2711.57,24.26,132.53,7.1,20.67,221.41,36.9,123.34,106.5,21.83,26.65,3.5,8.21,0.97,4.33,192.87,70.19,34.35
140,T1_Trich_Ecofish,2865.25,12.59,2713.73,26.04,127.18,6.25,21.7,221.21,36.94,124.85,108.63,22.56,26.89,3.53,9.08,1.08,4.49,202.05,69.13,36.16
